Sequence_ID,Label
AY046873.1,unknown
AY046872.1,unknown
AY046871.1,unknown
AY046870.1,unknown
AY046869.1,unknown
AY046868.1,unknown
AY046867.1,unknown
AY046866.1,unknown
AY046865.1,unknown
AY046864.1,unknown
AY046863.1,unknown
AY046862.1,unknown
AY046861.1,unknown
AY046860.1,unknown
AY046859.1,unknown
AY046858.1,unknown
AY046857.1,unknown
AY046856.1,unknown
AY046855.1,unknown
AY046854.1,unknown
AY046853.1,unknown
AY046852.1,unknown
AY046851.1,unknown
AY046850.1,unknown
AY046849.1,unknown
AY046848.1,unknown
AY046847.1,unknown
AY046846.1,unknown
AY046845.1,unknown
AY046844.1,unknown
AY046843.1,unknown
AY046842.1,unknown
AY046841.1,unknown
AY046840.1,unknown
AY046839.1,unknown
AY046838.1,unknown
AY046837.1,unknown
AY046836.1,unknown
AY046835.1,unknown
AY046834.1,unknown
AY046833.1,unknown
AY046832.1,unknown
AY046831.1,unknown
AY046830.1,unknown
AY046829.1,unknown
AY046828.1,unknown
AY046827.1,unknown
AY046826.1,unknown
AY046825.1,unknown
AY046824.1,unknown
AY046823.1,unknown
AY046822.1,unknown
AY046821.1,unknown
AY046820.1,unknown
AY046819.1,unknown
AY046818.1,unknown
AY046817.1,unknown
AY046816.1,unknown
AY046815.1,unknown
AY046814.1,unknown
AY046813.1,unknown
AY046812.1,unknown
AY046811.1,unknown
AY046810.1,unknown
AY046809.1,unknown
AY046808.1,unknown
AY046807.1,unknown
AY046806.1,unknown
AY046805.1,unknown
AY046804.1,unknown
AY046803.1,unknown
AY046802.1,unknown
AY046801.1,unknown
AY046800.1,unknown
AY046799.1,unknown
AY046798.1,unknown
AY046797.1,unknown
AY046796.1,unknown
AY046795.1,unknown
AY046794.1,unknown
AY046793.1,unknown
AY046792.1,unknown
AY046791.1,unknown
AY046790.1,unknown
AY046789.1,unknown
AY046788.1,unknown
AY046787.1,unknown
AY046786.1,unknown
AY046785.1,unknown
AY046784.1,unknown
AY046783.1,unknown
AY046782.1,unknown
AY046781.1,unknown
AY046780.1,unknown
AY046779.1,unknown
AY046778.1,unknown
AY046777.1,unknown
AY046776.1,unknown
AY046775.1,unknown
AY046774.1,unknown
AY046773.1,unknown
AY046772.1,unknown
AY046771.1,unknown
AY046770.1,unknown
AY046769.1,unknown
AY046768.1,unknown
AY046767.1,unknown
AY046766.1,unknown
AY046765.1,unknown
AY046764.1,unknown
AY046763.1,unknown
AY046762.1,unknown
AY046761.1,unknown
AY046760.1,unknown
AY046759.1,unknown
AY046758.1,unknown
AY046757.1,unknown
AY046756.1,unknown
AY046755.1,unknown
AY046754.1,unknown
AY046753.1,unknown
AY046752.1,unknown
AY046751.1,unknown
AY046750.1,unknown
AY046749.1,unknown
AY046748.1,unknown
AY046747.1,unknown
AY046746.1,unknown
AY046745.1,unknown
AY046744.1,unknown
AY046743.1,unknown
AY046742.1,unknown
AY046741.1,unknown
AY046740.1,unknown
AY046739.1,unknown
AY046738.1,unknown
AY046737.1,unknown
AY046736.1,unknown
AY046735.1,unknown
AY046734.1,unknown
AY046733.1,unknown
AY046732.1,unknown
AY046731.1,unknown
AY046730.1,unknown
AY046729.1,unknown
AY046728.1,unknown
AY046727.1,unknown
AY046726.1,unknown
AY046725.1,unknown
AY046724.1,unknown
AY046723.1,unknown
AY046722.1,unknown
AY046721.1,unknown
AY046720.1,unknown
AY046719.1,unknown
AY046718.1,unknown
AY046717.1,unknown
AY046716.1,unknown
AY046715.1,unknown
AY046714.1,unknown
AY046713.1,unknown
AY046712.1,unknown
AY046711.1,unknown
AY046710.1,unknown
AY046709.1,unknown
AY046708.1,unknown
AY046707.1,unknown
AY046706.1,unknown
AY046705.1,unknown
AY046704.1,unknown
AY046703.1,unknown
AY046702.1,unknown
AY046701.1,unknown
AY046700.1,unknown
AY046699.1,unknown
AY046698.1,unknown
AY046697.1,unknown
AY046696.1,unknown
AY046695.1,unknown
AY046694.1,unknown
AY046693.1,unknown
AY046692.1,unknown
AY046691.1,unknown
AY046690.1,unknown
AY046689.1,unknown
AY046688.1,unknown
AY046687.1,unknown
AY046686.1,unknown
AY046685.1,unknown
AY046684.1,unknown
AY046683.1,unknown
AY046682.1,unknown
AY046681.1,unknown
AY046680.1,unknown
AY046679.1,unknown
AY046678.1,unknown
AY046677.1,unknown
AY046676.1,unknown
AY046675.1,unknown
AY046674.1,unknown
AY046673.1,unknown
AY046672.1,unknown
AY046671.1,unknown
AY046670.1,unknown
AY046669.1,unknown
AY046668.1,unknown
AY046667.1,unknown
AY046666.1,unknown
AY046665.1,unknown
AY046664.1,unknown
AY046663.1,unknown
AY046662.1,unknown
AY046661.1,unknown
AY046660.1,unknown
AY046659.1,unknown
AY046658.1,unknown
AY046657.1,unknown
AY046656.1,unknown
AY046655.1,unknown
AY046654.1,unknown
AY046653.1,unknown
AY046652.1,unknown
AY046651.1,unknown
AY046650.1,unknown
AY046649.1,unknown
AY046648.1,unknown
AY046647.1,unknown
AY046646.1,unknown
AY046645.1,unknown
AY046644.1,unknown
AY046643.1,unknown
AY046642.1,unknown
AY046641.1,unknown
AY046640.1,unknown
AY046639.1,unknown
AY046638.1,unknown
AY046637.1,unknown
AY046636.1,unknown
AY046635.1,unknown
AY046634.1,unknown
AY046633.1,unknown
AY046632.1,unknown
AY046631.1,unknown
AY046630.1,unknown
AY046629.1,unknown
AY046628.1,unknown
AY046627.1,unknown
AY046626.1,unknown
AY046625.1,unknown
AY046624.1,unknown
AY046623.1,unknown
AY046622.1,unknown
AY046621.1,unknown
AY046620.1,unknown
AY046619.1,unknown
AY046618.1,unknown
AY046617.1,unknown
AY046616.1,unknown
AY046615.1,unknown
AY046614.1,unknown
AY046613.1,unknown
AY046612.1,unknown
AY046611.1,unknown
AY046610.1,unknown
AY046609.1,unknown
AY046608.1,unknown
AY046607.1,unknown
AY046606.1,unknown
AY046605.1,unknown
AY046604.1,unknown
AY046603.1,unknown
AY046602.1,unknown
AY046601.1,unknown
AY046600.1,unknown
AY046599.1,unknown
